,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"221 Smith St, Brooklyn, NY 11201, USA",40.6842838,-73.9919281,ROOFTOP,ChIJS9ai_VBawokRH0qK9j47fDY,premise,11201,"221 smith st.,Brooklyn,NY,",1,OK
1,"4 Bleecker St, New York, NY 10012, USA",40.7252328,-73.9927354,ROOFTOP,ChIJd3zZEIVZwokRwk41a_YpFbw,subpremise,10012,"4 bleeker st.,New York,NY,",1,OK
2,"197 2nd Ave, New York, NY 10003, USA",40.7313711,-73.9860217,ROOFTOP,ChIJcX7ph55ZwokRAg3ynS2ulSQ,premise,10003,"197 2nd ave.,New York,NY,",1,OK
3,"18 Spring St, New York, NY 10012, USA",40.7213105,-73.9950142,ROOFTOP,ChIJh-vLpohZwokRoSze1DIWPrw,premise,10012,"18 spring st.,New York,NY,",1,OK
4,"105 1st Avenue, New York, NY 10003, USA",40.7267784,-73.9862398,ROOFTOP,ChIJV3pG2ZxZwokRuJG6aGBQAu8,premise,10003,"105 1st ave.,New York,NY,",1,OK
5,"94 Avenue A, New York, NY 10009, USA",40.7254892,-73.9836739,ROOFTOP,ChIJjRS-soJZwokRMfwZSuhwbwY,street_address,10009,"94 avenue a,New York,NY,",1,OK
6,"128 W Houston St, New York, NY 10012, USA",40.72787,-74.00106699999999,ROOFTOP,ChIJRy7Z-I1ZwokRqDGo6pg8SSY,street_address,10012,"128 w houston,New York,NY,",1,OK
7,"190 West 4th Street, New York, NY 10014, USA",40.7326969,-74.0022796,ROOFTOP,ChIJTUPrjJNZwokRRE5RaLsModY,street_address,10014,"190 w. 4th st.,New York,NY,",1,OK
8,"123 Lexington Ave, New York, NY 10016, USA",40.7427536,-73.98206739999999,ROOFTOP,ChIJc8X-MghZwokRsWkiO-BosEs,premise,10016,"123 lexington ave.,New York,NY,",1,OK
9,"2122 Beekman Pl, Brooklyn, NY 11225, USA",40.6599147,-73.9608634,ROOFTOP,ChIJy7DJIhNbwokR3WwERQzMcvI,premise,11225,"2122 beekman pl.,Brooklyn,NY,",1,OK
10,"2727 Indian Creek Dr, Miami Beach, FL 33140, USA",25.8045687,-80.1264365,ROOFTOP,ChIJa93I_GOz2YgRG6Oo0508JZk,premise,33140,"2727 indian creek dr,Miami,FL,33140",1,OK
11,"437 SW 2nd St, Miami, FL 33130, USA",25.7721277,-80.2017376,ROOFTOP,ChIJRbo3qpG22YgRT-fT9qTtFuI,premise,33130,"437 sw 2nd st,Miami,FL,33130",1,OK
